[2019-02-11 13:59:18,585] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:18,586] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:59:26,649] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-02-11 13:59:26,653] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 13:59:26,658] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device medan
[2019-02-11 13:59:26,661] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device medan
[2019-02-11 13:59:26,982] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:59:26,983] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:59:26,984] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:59:26,984] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:59:28,372] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:28,372] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:59:28,374] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:28,375] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:59:36,850] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device medan
[2019-02-11 13:59:36,852] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-02-11 13:59:36,854] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device medan
